	Unnamed: 0	text	Y	T_true	T_proxy	old_C	C
173	173	kınadan ve düğünden 1346 fotoğraf paylaşmışsın ama gerdek gecesi fotoğrafı göremedim hiç?	1	0	0	1	8
174	174	kısa kollu gömleği giydiğim gibi cebimde marlboro ve altımda doblo belirdi, giymeyin.	1	0	0	1	7
175	175	Kişisel mesafeyi korumadığınız için gerçekten teşekkür ederim.	1	0	0	1	8
176	176	kokoreç bile 16 tl olmuş, ağız tadıyla b*k bile yiyemiyoruz.	1	0	0	1	3
177	177	kolay ananas kesmenin yolu diye video eklemişler. video 10 dakika.	1	0	0	1	9
178	178	Kolonya kutusunda corona virüsüne rastlandı	1	0	0	1	4
179	179	Koronavirus ile ilgili toplantı Koronavirus endişelerinden ötürü iptal edildi.	1	0	0	1	9
180	180	Koronavirüs aşısı ihalesi, yıllık 1 milyon hasta garantisi ile Kolin-Limak-Cengiz-Kalyon konsorsiyumuna verildi...	1	0	0	1	4
181	181	koronavirüs yüzünden ece erkenin araba parçalamasına tam focus olamadık gibi hissediyorum üzücü	1	0	0	1	6
182	182	koronaya karşı elimizde büyük bir koz var ama halkın da yan açması gerek	1	0	0	0	4
183	183	Küçücük formu doldurmaya vakit nereden bulayım ben, izlemem gereken diziler var diyorum.	1	0	0	0	6
184	184	lisede çikolata yedikten sonra yeşil çay ve soda içerdik ki çikolata kilo yapmasın.	1	0	0	1	5
185	185	lisede en arkada oturan ekipten 2 kişi okumaya Cambridge'e gitti, ben ise işsizim.	1	0	0	1	6
186	186	Luppom olmadan asla!	1	1	1	1	5
187	187	lütfen arkamdan ışıklar içinde yatsın demeyin, ben uyurken televizyonun ışığından bile rahatsız oluyorum.	1	0	0	0	8
188	188	Maşallah bilgisayarımız da pek hızlı tost makinesiyle yarışır...	1	0	0	0	9
189	189	Matkap gürültüleri, çekiç darbeleri... Ah ne kadar da huzurlu bir akşam!	1	1	1	0	3
190	190	Mesela eskiden bir olay olduğunda bu ülkeyi komple temizlenmesi lazım derdik, şimdi ülke gerçekten komple temizleniyor.	1	0	0	0	2
191	191	mezar taşıma online eğitim öldürdü yazarsınız	1	0	0	1	7
192	192	MİLYARLIK KIYAK! Devletin kasasından çıkan 250 milyon TL ile milyonlarca verginin üzerine soğuk su içebiliriz.	1	1	1	1	6
193	193	mozart'ın bestelerini tüm tuşlara basarak yaptığını tahmin ediyorum.	1	0	0	0	9
194	194	Mucize çocuk Laurent, üniversiteden mezun olmasına günler kala okulu bıraktı.	1	0	0	1	8
195	195	mustafa kemal, türk kadınlarına bütün haklarını verdi ancak bunu türk erkeklerine söylemeyi unuttu.	1	0	0	0	0
196	196	Müdürü kovdurmak için başvurduğumuz birimin karar merciini de müdür atadığı için, kazanacağımıza hiç şüphem yok!	1	1	1	0	0
197	197	"müşteri hizmetlerine bağlanmaya çalışıyorum, önce 20 dakika bekletip düşürüyorlar, sonra da ""hizmetimizi puanlar mısınız"" diye ankete yönlendiriyorlar. hangi hizmet?"	1	0	0	1	7
198	198	namaz kılmaya gidiyorum, Allah'tan bir şey isteyen var mı?	1	0	0	0	7
199	199	nasıl da güzel bir çocuk! tam eldivenle sevmelik.	1	1	1	0	3
200	200	Ne harika, yağmurlu bir gün daha!	1	1	1	0	3
201	201	Ne kadar erkencisin, sadece üç saat oldu bekleyeli.	1	0	0	0	2
202	202	Ne kadar mütevazı olduğunu anlatıp anlatıp bitiremedi.	1	0	0	0	9
203	203	New York'taki ofisimin 2 arka bloğunda başlayan inşaat 20. yaşını kutlamak üzere :)))))	1	0	0	1	2
204	204	normalde kültürsüzlükten ölürüm ama bi anda para bayılıp gitmeyi kabul ettiğim iki etkinlik bulunca ikisi kesin aynı güne gelir	1	0	0	1	2
205	205	nuh'un gemiye dinozorları almaması iddiası devletin ezberlettiği resmi tarihten başka kaynak bilmeyenlerin doğru zanettikleri uydurmadır, aslında dinazorlar kendileri gelmek istemediler.	1	0	0	1	9
206	206	Nüfus arttıkça insan sayısı azalıyor mu?	1	0	0	0	7
207	207	O aniden (!) evliliğe giden ilişkinin, diğer uzun ilişki bittikten sonra başladığını mı zannediyorsunuz cidden?	1	1	1	1	0
208	208	O harika sesinle lütfen bir daha şarkı söyleme!	1	1	1	0	1
209	209	o kadar açım ki midemden gelen guruldamanın gürültüsüne uyandım 🍽️	1	0	0	0	6
210	210	O kadar güzel bir filmdi ki, 10 dakika bile izlemeye dayanamadım.	1	0	0	1	2
211	211	O kadar hızlı sürdü ki bir an duracağız diye çok korktum!	1	1	1	0	3
212	212	odamı boyayıp evi temizlediğime göre artık ders çalışmaya başlayabilirim...	1	0	0	0	1
213	213	ODTÜlüler bozkırı gözyaşlarıyla yeşertmiş kesin bilgi	1	0	0	1	2
214	214	okula kimliksiz 10 kişi girmeye çalışınca güvenlik durduramamış, bundan sonra arkadaşımı okula sokmak istediğimde 9 kişi daha bulacağım.	1	0	0	1	7
215	215	Okulum gerçekten aşırı iyi bir online eğitim sunuyor!	1	1	1	1	0
216	216	Öfke kontrolüne sahibim diyorum size neden anlamıyorsunuz!!!	1	1	1	1	9
217	217	Öğrenciler savaşlara karşı çıkın, yoksa tarih kitapları kalınlaşacak...	1	0	0	0	9
218	218	öyle bir üniversite ki selam veren burslu çıkıyor	1	0	0	0	3
219	219	Öyle demeyin avcılar alınıyor, spor diyeceksiniz!	1	1	1	0	4
220	220	öyle ölmem yalnız, füze fırlat	1	0	0	0	9
221	221	Özgürlük anıtının ayaklarının yere sabit olması nasıl bir tezattır!	1	1	1	0	8
222	222	Özgürlük şarkıları söyleyen hümanist sanatçımız, hapis cezası almamı istedi.	1	0	0	0	7
223	223	patavatsız sorular soran akrabalarımı pek severim.	1	0	0	0	9
224	224	polenlerin hedeflerini şaşırıp gözlerimle üremeye çalışması canımı sıkıyor.	1	0	0	0	1
225	225	Polis memuru alkollü araba kullanmaktan ehliyetini kaptırmış.	1	0	0	0	1
226	226	Popülerliğe katkıda bulunmamak için sosyal medya kullanarak mesaj göndermek.	1	0	0	1	9
227	227	problemlerin çoğu cebir, hesaplama ya da şiddet ile çözülebilir.	1	0	0	0	7
228	228	profil fotoğrafımı değiştirdim, benden nefret eden eski sevgilimin ve küstüğümüz eski en iyi arkadaşımın ebeveynleri beğenmiş hemen...	1	0	0	1	6
229	229	püskevitin dik duruşu çaya batırılana kadardır.	1	0	0	0	7
230	230	"rabbim bize de nasip et artık sıla hasretini, ben amerika'da ağlayarak ""greek yoghurt"" yemek istiyorum..."	1	0	0	0	4
231	231	rabbimden sadece banko kupon istiyorum	1	0	0	1	7
232	232	Realist olduğunu söyleyen gençler, kötü haber duymamak için gazete okumadıklarını söylediler.	1	0	0	0	6
233	233	sabah sabah felaket başım ağrıyor umarım hafızam siliniyodur	1	0	0	0	9
234	234	Sabahın köründe kalktığım için işe girerken de çıkarken de hava karanlık oluyor, yaşasın çalışma hayatı -,-	1	0	0	0	7
235	235	Sabırlı olmak istiyorum, hem de hemen!	1	1	1	0	5
236	236	sanki kapıyı çektiğin an anahtarını içeride unuttuğunu fark etmişsin gibi güzel bir gün.	1	0	0	0	2
237	237	Sen hiç uğraşma, ben tüm ödevi yaparım	1	0	0	0	8
238	238	sevgili arkadaşlar, ülke olarak birlik ve beraberliğe en az ihtiyaç duyduğumuz dönemdeyiz...	1	0	0	0	3
239	239	sığır olabilirim ama öküz asla!!!	1	1	1	0	0
240	240	Sınava geç kaldım, aferin bana!	1	1	1	0	1
241	241	sigarayı bırakmak kolay olmasa nasıl 14 kere bırakayım canım?	1	0	0	1	5
242	242	Siyasi parti intiharı eleştirirken kendi işini de bitirdiğinin farkında değildi.	1	0	0	1	8
243	243	siz buna yapay zeka demişsiniz ama baya yapay aptal bu!	1	1	1	0	0
244	244	Siz de bu dondurucu günlerde duyarlı olun ve çeşitli tekstil mahsüllerinizi ve teknolojik aletlerinizi kalorifer dibi banklara bırakıp ortadan kaybolun.	1	0	0	1	7
245	245	sizin, babanız erkek kardeşiniz bikini giyse onlara laf atsalar hoşunuza gider mi ?	1	0	0	1	9
246	246	son 75 yılın en sıcak mayıs ayıymış, böyle güzel bir yıla yakışıyor mu hiç?	1	0	0	0	1
247	247	son aylarda okuduğum en acıklı metin olan eylül ayı kredi kartı ekstrem, iyi bir edebi eserden beklediğim her şeyi veriyor şükür.	1	0	0	0	4
248	248	soruyu çözmek için o kadar uğraş sonuç 0 çıksın... bu senaryo bana bir yerden tanıdık geliyor diyordum sonradan çözdüm, hayatımmış.	1	0	0	0	8
