	text	Y	T_true	T_proxy	C
70	Bu kadar güzel bir sabaha böyle güzel bir trafik kazası yakışırdı!	1	1	1	0
71	bu yılın başında 5 kilo veriyordum, bu gidişle seneye 15 kilo vermem gerekecek.	1	0	0	1
72	Bugün sadece bir kilocuk et yedim.	1	0	0	0
73	Bugünkü uçağımızın pilotu, yükseklik korkusuna sahip.	1	0	0	1
74	buradan sevgili cin kardeşlerimize sesleniyorum: siz işinizi doğru dürüst yapmadığınız için inanç sistemi yara alıyor.	1	0	0	0
75	canım okulum pass fail getirmiş ama dönemlik, olsun adam olana çok bile!	1	1	1	1
76	Charlie ve Çikolata Fabrikası olması gereken filmi Charlie'nin Çikolata Fabrikası olarak çevirip bize spoiler'ın dibini veren hainlere karşı sessiz mi kalacağız?	1	0	0	1
77	Cümle az gelir kompozisyon yazalım	1	0	0	0
78	Çevreden duyduğuma göre, hiç bir ünü yokmuş.	1	0	0	0
79	Çocuğumu uyutmaya çalışırken uyuya kalan baba, bebeğini saat 04:00'te hala uyanık görünce çaresizce eşini aradı...	1	0	0	1
80	çok komiksin, o kadar komiksin ki seni dinlerken uyuyakalacağım.	1	0	0	0
81	Çok pahalı montuyla ve altın kaplı telefonuyla ucuz yemek sırasında bekliyordu!	1	1	1	1
82	çok şaşırtıcı(!) bir durum, toplumsal olaylara duyarlılığı, halkı bilinçlendirmeye yönelik programları ile bilinen biridir oysa.	1	1	1	1
83	Daha güzel bir hayat için ömür boyu doyumsuzca çalışır sonra bir gün yanlışlıkla ölürüz.	1	0	0	0
84	demek ki aya insanlı araç göndersek, içindekiler soluğu jupiterde alacak.	1	0	0	0
85	Derbi galibiyeti nasıl bir şey unuttum	1	0	0	0
86	Dışarıda virüs falan görmüyorum.	1	0	0	0
87	Dijitalleşme konusunu toplantıda konuşurken elektrik gitti. :)	1	0	0	1
88	Diktatörün twitter'ın kökünü kazıyacağını açıklamasını sevinçle karşılayan kitle bu haberi twitter'dan öğrendi.	1	0	0	1
89	Din üzerine rezervasyonlar ile alım yapan bir üniversite, sekülerizm ile savaşıyor.	1	0	0	0
90	diyanetin alkol haram değildir diye fetva vermesi...	1	0	0	0
91	Diyet kola bağımlılığını yendi, 100 milyon dolarlık aromalı su şirketi kurdu.	1	0	0	1
92	Diyetisyenim mide kelepçesi taktırdığı için bugünkü randevumuzu iptal etti.	1	0	0	1
93	dolara karşı elimizde büyük bir koz var: cebinde doları olmamak.	1	0	0	0
94	Doların 5 lirayı geçtiğini duyan esnaf, banknotları yırtıp atmaya başladı!	1	1	1	1
95	Dolmabahçe Sarayı'ndaki altın temalı mütevazi (!) törene yalnızca 3000 kişi katıldı.	1	1	1	1
96	Düğününe elbette katılmak isterim ama o gün kaynanamin kedisinin doğum günü partisi var.	1	0	0	0
97	Dünyanın en büyük tütün şirketi, sağlık hakkında kampayalar düzenliyor.	1	0	0	0
98	Dünyanın en zehirli yılanı kendi dilini ısırarak ölmüş...	1	0	0	0
99	Dünyaya bakınca her yer su ama tuzdan ötürü içilecek bir damla suyu bulmak çok zor.	1	0	0	0
100	eee tıp'ta 5. senem bittiğine göre artık bilgisayar mühendisliğine geçmeye hazırım	1	0	0	1
101	efendiler yarın konkordato ilan edeceğiz	1	0	0	0
102	Ekonomimiz öyle iyi bir halde ki, enflasyon 3 haneli sayılara çıkacak.	1	0	0	1
103	elektronik aletlerle anlaşamıyorum, sanırım kibar davrandıklarım naz yapıyor.	1	0	0	1
104	"Elon Musk'ın büyük oğlu ""Hotbird"" bu sene üniversiteye başlayacak."	1	0	0	1
105	en sevdiğim şey 1 hafta sonrasına arkadaşlarımla plan yapıp 1 gün önce iptal etmek.	1	0	0	1
106	Etrafa saçma sapan virüsler saçmamak adına elinizi yıkamaya lavaboya yanaşıyorsunuz, sonra kafanıza pencere düşüyor. Aşırı iyi değil mi?	1	0	0	1
107	evde bayram temizliği yapacağız diye beni dışarı yolladılar, yolda fark ettim ki temizliğe benden başlamışlar çok üzgünüm şu an...	1	0	0	0
108	evde dura dura ingiltere kraliçesi gibi oldum, arada çıkıp çıkıp balkondan el sallıyorum!	1	1	1	0
109	Evde kalmak için mükemmel bir gün!	1	1	1	0
110	evde ses olsun diye havlıyorum	1	0	0	0
111	evde spor yapabilen cindir	1	0	0	1
112	evdeki saat kendini 1 saat geri almış, annem de 1 saat geri almış, kimse almamıştır diye ben de aldım, şu an aylardan temmuz.	1	0	0	0
113	evden çıkmanın yasak olduğu bayramda nasıl olduysa normalden daha çok akraba ile bayramlaştım, teşekkürler(!) görüntülü konuşma.	1	1	1	0
114	eve kapandığımız şu dönemlerde kendime yeni ve önemli yetenekler katıyorum, mesela bu hafta kısır yapmayı öğrendim.	1	0	0	1
115	evet ben zaten keyfimden siliyordum yerleri tabii ki geç çamurlu ayaklarınla bir şey olmaz	1	0	0	0
116	Evet bilgisayarlar bizi ele geçirecek	1	0	0	1
117	Evet hocam yanağımda kuru bir yer kaldı lütfen oraya doğru da öksürün.	1	0	0	0
118	evet veganım ve et yiyorum!	1	1	1	0
119	Evet, bence de böylesine bulaşıcı bir hastalığın dünyayı sardığı bu günlerde hep birlikte sokaklarda olarak yalnız olmadığımızı hissettirmeliyiz	1	0	0	1
120	Fabrikadaki mühendis, kendisinin yerine alacak robotların satın almasını gerçekleştirdi.	1	0	0	1
121	Faiz lobisi, caiz lobisi, enflasyon ve döviz lobisi birleşip yola çıkmışlar. Dikkatli olalım. Sonra ekonomik kriz var demeyelim.	1	0	0	1
122	Falcılar, öngörülemez sebeplerden ötürü toplantıya katılamadılar.	1	0	0	0
123	Fenerbahçe'yi bir sürü borca sokan adam, ülkede yılın spor adamı seçilmiş.	1	0	0	0
124	Fransa not indiriminden ve Rick Perry'nin başına gelenlerden dersini (!) almamış anlaşılan!	1	1	1	0
125	Geçen yıl aldığın saatin kırmızısını almışsın! Bu ne sürpriz!	1	1	1	0
126	"gelmiş herkes yakında emoji ile anlaşacak konuşma dili kalmayacak diyor. sen emoji'yle ""Bİ KERE DE BANA İHTİYACIN OLSUN BEEE"" diyebilir misin?"	1	0	0	1
127	gerçekten harika (!) bir yetenek, doğuştan mı yoksa kendini geliştirdin mi böyle olmak için?	1	1	1	0
128	Gerçekten tebrik ederim, bu mantıklı (!) açıklama beni çok tatmin etti.	1	1	1	0
129	Geri kalmış olan saatim, günde 2 kez bile doğruyu göstermiyor.	1	0	0	0
130	"gerizekalısın diyemediğim için ""o da senin görüşün"" diyorum :/"	1	0	0	0
131	Gitmene ne de çok üzüldüm, anlatamam...	1	0	0	1
132	gizli buzlanma gibisin, bir bastım hayatım kaydı...	1	0	0	0
133	Görme engelli yarışmacıya elini uzatıp sıkmasını bekleyen müdürden istifası istendi.	1	0	0	1
134	Güne daha güzel başlayamazdım, üstüm başım çamur oldu.	1	0	0	0
135	Hafif tempolu koşuyu(jogging) bulan kişinin kalp krizinden hayatını yitirmesi ne çelişkidir ama...	1	0	0	1
136	Halden anlarım diye manav mı sandın?	1	0	0	0
137	Hanımefendi siz kendi çabanızla mi gerizekalı oldunuz yoksa doğuştan mı böyleydiniz	1	0	0	0
138	Hareketlerimin sorumluluğunu almamak benim suçum değil.	1	0	0	1
139	Harika bir pazar sabahı, evimin önünde kocaman bir çukur var.	1	0	0	0
140	Harika! Yeni kameramı kırdın.	1	1	1	0
141	Hava sadece 42 derece, buz gibi adeta!	1	1	1	1
142	hayat çok garip değil mi ya? hindistan’da tanrı oluyorsun burada kavurma.	1	0	0	0
143	Hayatımda hiç sermaye piyasası yazısı yazmadığım halde şimdi de yılın sermaye piyasası yazarı ödülünü aldım.	1	0	0	0
144	he, he bi akıllı sensin he, aynen kardeşim he	1	0	0	0
145	herkese söylemedim tabii ki, sadece sınıftaki 34 kişiciğin haberi var.	1	0	0	0
146	herkesi ama herkesi malazgirt in doğusuna alıp bir daha anadoluya girmeli. restart edilmeden düzelmez.	1	0	0	0
147	hiçbir dersine gitmediğim dersin sınavından 89 almışım :)	1	0	0	0
148	Hocam kaldırıma 3 kişi yan yana tam sığamamışsınız. İsterseniz dilekçe verip kaldırımı genişletme talebinde bulunalım da yan yana rahat rahat yürüyün.	1	0	0	1
149	hocam madem sınavda 19 verecektin ben neden her dersini en önden dinledim?	1	0	0	1
150	hocamlar spor salonunda libidomu düşürdüm bulan oldu mu acaba?	1	0	0	0
151	İddiaya girerim ki kumarı bırakabilirim!	1	1	1	0
152	İki ay sonra işten kovulacak personeller, şirketin yılbaşı yemeğinde doyasıya eğlendi.	1	0	0	0
153	infj burçlular burada mı?	1	0	0	1
154	İngilizler insanlara en çok lord kelimesini kullanan toplum olmasına rağmen, tanrıyı onurlandıramıyorlar.	1	0	0	0
155	İngiltere sağlık bakanının koronavirüs testi pozitif çıktı.	1	0	0	1
156	İngiltere'nin en büyük köpeğinin adı Minik.	1	0	0	0
157	İnsan yakıp katliam yapanlar için, yaşasın cehennem!	1	1	1	0
158	"İnternet hızı arttırılsın diyorum, adam ""boykot ediyoruz"" diyor, küfür ediyor. İnterneti boykot ediyor, hem de tweet atarak, kafa zehir."	1	0	0	0
159	İnternet kullanmanın ne kadar sıkıcı olduğunu anlatan bir videoyu yine Youtube üzerinden yayınladım.	1	0	0	1
160	iskoç eteği mi? eteğin milliyeti olmaz, dünya eteği için destek!	1	1	1	0
161	istanbul havalimanı konum olarak zaten kendisi yanlış yerde, metro istasyonu yanlış olmuş çok mu?	1	0	0	1
162	İstanbul'a taşınsam her hafta bir yeri gezerim, ama önce bi Tunalı Hilmi Caddesi'ni görsem iyi olacak. :)	1	0	0	0
163	İstanbul'da yağmur sonrası ortaya çıkan o harika beton kokusunu hiçbir şeye değişmem be arkadaş... ohhh mis	1	0	0	0
164	İtfaiye merkezinde kötü bir yangın çıkmış.	1	0	0	0
165	İyi ki Topkapı Sarayı'nı gezmedi, kaşıkçı elmasını da isteyebilirdi.	1	0	0	0
166	Kadına şiddet uygulayan bütün erkekleri yine bir kadının yetiştirmiş olması çok ironik.	1	0	0	0
167	kadir gecesinde 800 ürüne ek gümrük vergisi indirilmiş gökten...	1	0	0	1
168	kantin önü boşçu tayfadaki azime hayranım. vardiyalı çalışılıyor, gece boyu batak/ şarkı türküyle uyutmadıklarını biliyordum ama artık sabah ekibi de gelmiş sanırım.	1	0	0	0
169	karantinanın 40. gününde hamurun kulak memesi kıvamına gelmesinin ne demek olduğunu sonunda anladım.	1	0	0	1
170	karantinanın 47. gününde hayat tercihlerimi sorgulayıp okumaya karar verdiğim 7. meslekten de vazgeçtim	1	0	0	1
171	karbonhidratı kesmekten kasıtlarının pizza dilimlemek olduğunu umuyorum.	1	0	0	1
172	kaynanama ben bakıyormuşum da emekli maaşını görümcem alıyormuş gibi bir gün...	1	0	0	0
173	kınadan ve düğünden 1346 fotoğraf paylaşmışsın ama gerdek gecesi fotoğrafı göremedim hiç?	1	0	0	1
174	kısa kollu gömleği giydiğim gibi cebimde marlboro ve altımda doblo belirdi, giymeyin.	1	0	0	1
175	Kişisel mesafeyi korumadığınız için gerçekten teşekkür ederim.	1	0	0	1
176	kokoreç bile 16 tl olmuş, ağız tadıyla b*k bile yiyemiyoruz.	1	0	0	1
177	kolay ananas kesmenin yolu diye video eklemişler. video 10 dakika.	1	0	0	1
178	Kolonya kutusunda corona virüsüne rastlandı	1	0	0	1
179	Koronavirus ile ilgili toplantı Koronavirus endişelerinden ötürü iptal edildi.	1	0	0	1
180	Koronavirüs aşısı ihalesi, yıllık 1 milyon hasta garantisi ile Kolin-Limak-Cengiz-Kalyon konsorsiyumuna verildi...	1	0	0	1
181	koronavirüs yüzünden ece erkenin araba parçalamasına tam focus olamadık gibi hissediyorum üzücü	1	0	0	1
182	koronaya karşı elimizde büyük bir koz var ama halkın da yan açması gerek	1	0	0	0
183	Küçücük formu doldurmaya vakit nereden bulayım ben, izlemem gereken diziler var diyorum.	1	0	0	0
184	lisede çikolata yedikten sonra yeşil çay ve soda içerdik ki çikolata kilo yapmasın.	1	0	0	1
185	lisede en arkada oturan ekipten 2 kişi okumaya Cambridge'e gitti, ben ise işsizim.	1	0	0	1
186	Luppom olmadan asla!	1	1	1	1
187	lütfen arkamdan ışıklar içinde yatsın demeyin, ben uyurken televizyonun ışığından bile rahatsız oluyorum.	1	0	0	0
188	Maşallah bilgisayarımız da pek hızlı tost makinesiyle yarışır...	1	0	0	0
189	Matkap gürültüleri, çekiç darbeleri... Ah ne kadar da huzurlu bir akşam!	1	1	1	0
190	Mesela eskiden bir olay olduğunda bu ülkeyi komple temizlenmesi lazım derdik, şimdi ülke gerçekten komple temizleniyor.	1	0	0	0
191	mezar taşıma online eğitim öldürdü yazarsınız	1	0	0	1
192	MİLYARLIK KIYAK! Devletin kasasından çıkan 250 milyon TL ile milyonlarca verginin üzerine soğuk su içebiliriz.	1	1	1	1
193	mozart'ın bestelerini tüm tuşlara basarak yaptığını tahmin ediyorum.	1	0	0	0
194	Mucize çocuk Laurent, üniversiteden mezun olmasına günler kala okulu bıraktı.	1	0	0	1
195	mustafa kemal, türk kadınlarına bütün haklarını verdi ancak bunu türk erkeklerine söylemeyi unuttu.	1	0	0	0
196	Müdürü kovdurmak için başvurduğumuz birimin karar merciini de müdür atadığı için, kazanacağımıza hiç şüphem yok!	1	1	1	0
197	"müşteri hizmetlerine bağlanmaya çalışıyorum, önce 20 dakika bekletip düşürüyorlar, sonra da ""hizmetimizi puanlar mısınız"" diye ankete yönlendiriyorlar. hangi hizmet?"	1	0	0	1
198	namaz kılmaya gidiyorum, Allah'tan bir şey isteyen var mı?	1	0	0	0
199	nasıl da güzel bir çocuk! tam eldivenle sevmelik.	1	1	1	0
200	Ne harika, yağmurlu bir gün daha!	1	1	1	0
201	Ne kadar erkencisin, sadece üç saat oldu bekleyeli.	1	0	0	0
202	Ne kadar mütevazı olduğunu anlatıp anlatıp bitiremedi.	1	0	0	0
203	New York'taki ofisimin 2 arka bloğunda başlayan inşaat 20. yaşını kutlamak üzere :)))))	1	0	0	1
204	normalde kültürsüzlükten ölürüm ama bi anda para bayılıp gitmeyi kabul ettiğim iki etkinlik bulunca ikisi kesin aynı güne gelir	1	0	0	1
205	nuh'un gemiye dinozorları almaması iddiası devletin ezberlettiği resmi tarihten başka kaynak bilmeyenlerin doğru zanettikleri uydurmadır, aslında dinazorlar kendileri gelmek istemediler.	1	0	0	1
206	Nüfus arttıkça insan sayısı azalıyor mu?	1	0	0	0
207	O aniden (!) evliliğe giden ilişkinin, diğer uzun ilişki bittikten sonra başladığını mı zannediyorsunuz cidden?	1	1	1	1
208	O harika sesinle lütfen bir daha şarkı söyleme!	1	1	1	0
209	o kadar açım ki midemden gelen guruldamanın gürültüsüne uyandım 🍽️	1	0	0	0
210	O kadar güzel bir filmdi ki, 10 dakika bile izlemeye dayanamadım.	1	0	0	1
211	O kadar hızlı sürdü ki bir an duracağız diye çok korktum!	1	1	1	0
212	odamı boyayıp evi temizlediğime göre artık ders çalışmaya başlayabilirim...	1	0	0	0
213	ODTÜlüler bozkırı gözyaşlarıyla yeşertmiş kesin bilgi	1	0	0	1
214	okula kimliksiz 10 kişi girmeye çalışınca güvenlik durduramamış, bundan sonra arkadaşımı okula sokmak istediğimde 9 kişi daha bulacağım.	1	0	0	1
215	Okulum gerçekten aşırı iyi bir online eğitim sunuyor!	1	1	1	1
216	Öfke kontrolüne sahibim diyorum size neden anlamıyorsunuz!!!	1	1	1	1
217	Öğrenciler savaşlara karşı çıkın, yoksa tarih kitapları kalınlaşacak...	1	0	0	0
218	öyle bir üniversite ki selam veren burslu çıkıyor	1	0	0	0
219	Öyle demeyin avcılar alınıyor, spor diyeceksiniz!	1	1	1	0
220	öyle ölmem yalnız, füze fırlat	1	0	0	0
221	Özgürlük anıtının ayaklarının yere sabit olması nasıl bir tezattır!	1	1	1	0
222	Özgürlük şarkıları söyleyen hümanist sanatçımız, hapis cezası almamı istedi.	1	0	0	0
223	patavatsız sorular soran akrabalarımı pek severim.	1	0	0	0
224	polenlerin hedeflerini şaşırıp gözlerimle üremeye çalışması canımı sıkıyor.	1	0	0	0
225	Polis memuru alkollü araba kullanmaktan ehliyetini kaptırmış.	1	0	0	0
226	Popülerliğe katkıda bulunmamak için sosyal medya kullanarak mesaj göndermek.	1	0	0	1
227	problemlerin çoğu cebir, hesaplama ya da şiddet ile çözülebilir.	1	0	0	0
228	profil fotoğrafımı değiştirdim, benden nefret eden eski sevgilimin ve küstüğümüz eski en iyi arkadaşımın ebeveynleri beğenmiş hemen...	1	0	0	1
229	püskevitin dik duruşu çaya batırılana kadardır.	1	0	0	0
230	"rabbim bize de nasip et artık sıla hasretini, ben amerika'da ağlayarak ""greek yoghurt"" yemek istiyorum..."	1	0	0	0
231	rabbimden sadece banko kupon istiyorum	1	0	0	1
232	Realist olduğunu söyleyen gençler, kötü haber duymamak için gazete okumadıklarını söylediler.	1	0	0	0
233	sabah sabah felaket başım ağrıyor umarım hafızam siliniyodur	1	0	0	0
234	Sabahın köründe kalktığım için işe girerken de çıkarken de hava karanlık oluyor, yaşasın çalışma hayatı -,-	1	0	0	0
235	Sabırlı olmak istiyorum, hem de hemen!	1	1	1	0
236	sanki kapıyı çektiğin an anahtarını içeride unuttuğunu fark etmişsin gibi güzel bir gün.	1	0	0	0
237	Sen hiç uğraşma, ben tüm ödevi yaparım	1	0	0	0
238	sevgili arkadaşlar, ülke olarak birlik ve beraberliğe en az ihtiyaç duyduğumuz dönemdeyiz...	1	0	0	0
239	sığır olabilirim ama öküz asla!!!	1	1	1	0
240	Sınava geç kaldım, aferin bana!	1	1	1	0
241	sigarayı bırakmak kolay olmasa nasıl 14 kere bırakayım canım?	1	0	0	1
242	Siyasi parti intiharı eleştirirken kendi işini de bitirdiğinin farkında değildi.	1	0	0	1
243	siz buna yapay zeka demişsiniz ama baya yapay aptal bu!	1	1	1	0
244	Siz de bu dondurucu günlerde duyarlı olun ve çeşitli tekstil mahsüllerinizi ve teknolojik aletlerinizi kalorifer dibi banklara bırakıp ortadan kaybolun.	1	0	0	1
245	sizin, babanız erkek kardeşiniz bikini giyse onlara laf atsalar hoşunuza gider mi ?	1	0	0	1
246	son 75 yılın en sıcak mayıs ayıymış, böyle güzel bir yıla yakışıyor mu hiç?	1	0	0	0
247	son aylarda okuduğum en acıklı metin olan eylül ayı kredi kartı ekstrem, iyi bir edebi eserden beklediğim her şeyi veriyor şükür.	1	0	0	0
248	soruyu çözmek için o kadar uğraş sonuç 0 çıksın... bu senaryo bana bir yerden tanıdık geliyor diyordum sonradan çözdüm, hayatımmış.	1	0	0	0
249	susma, haykır, çamaşırlar vardır!	1	1	1	0
250	"Şaşırtıcı! 2 yıldır sesi soluğu çıkmayan komşumdan, parti gürültüleri geliyor. Bağıra bağıra ""sessiz ol"" şarkısını söylüyorlar."	1	1	1	0
251	şişeyi o mesafeden düşünce gücüyle de patlatabilirdi ama onun için düşünce lazım tabii.	1	0	0	0
252	Şu taraf duymadı, biraz daha bağır.	1	0	0	0
253	Tabii ki bu saçma sapan düşüncenize katılıyorum, akılsızım ya ben	1	0	0	0
254	Tabii ki Türkiye’de demokrasi harika işliyor.	1	0	0	0
255	tabii o da haklı benim alnımda enayi yazdığından aksini düşünmemiştir.	1	0	0	0
256	Tam anlayacağım bir gülme geliyor.	1	0	0	0
257	tam hayatlarımızı “neyse şunlar bi geçsin de...” diye yaşıyor olmamıza dertlenicem diyorum ki neyse şunlar bi geçsin de...	1	0	0	0
258	Tanrıya şükürler olsun ki ateistim!	1	1	1	0
259	Tereyağı bir mermer kadar yumuşak!	1	1	1	0
260	Terör örgütü destekleyen biri askerlik yapıyor ne kadar ironik.	1	0	0	1
261	tersine mühendislik mi? ben daha düzünü zor yapıyorum	1	0	0	0
262	teyzecim günden dönüyosun belli ben 9 saattir ayakta çalışıyorum sadece ne yorulması sen otur kısır ağırlık yapmıştır.	1	0	0	1
263	trt haber bu hareketiyle sanırım cumhuriyet bayramının artık 19 mayıs'ta kutlanacağını duyurmak istemiş	1	0	0	1
264	tüm sorularınız için mesaj atabilirsiniz, ama lütfen mesaj atmayın.	1	0	0	0
265	türkiye'deki turizmin geldiği noktaya bak, virüsü bile getiremiyoruz.	1	0	0	0
266	Uçuş boyunca n95 ve eldiven takan amca az önce kek yemek için maskesini çıkardı ve eldivenleri ile kek yedi. Söyleyeceklerim bu kadar.	1	0	0	1
267	ulan kaç senedir sokakta gezip gelir bırak kuş getirmeyi ufak böcek bile getirmedi. hep biz verelim.	1	0	0	0
268	ulan kış geldi hala evde sinek var. inat etmiş montla uçuyor.	1	0	0	0
